"id","name","symbol","rank","price_usd","price_btc","24h_volume_usd","market_cap_usd","available_supply","total_supply","max_supply","percent_change_1h","percent_change_24h","percent_change_7d","last_updated","mentions","rating"
"litecoin","Litecoin","LTC","7","256.87","0.0166906","1124510000.0","14044716119.0","54676358.0","54676358.0","84000000.0","0.05","-5.46","5.29","1515475141",25,-27088865
"iota","IOTA","MIOTA","9","3.91014","0.00025407","299029000.0","10868352541.0","2779530283.0","2779530283.0","2779530283.0","0.78","-3.36","-2.91","1515475151",47,-30738555
"walton","Walton","WTC","98","15.1716","0.0009858","38898300.0","377745197.0","24898178.0","70000000.0","100000000.0","0.64","-9.8","29.7","1515475153",14,-32639187
"poet","Po.et","POE","96","0.178674","0.00001161","36073000.0","392475591.0","2196601583.0","3141592653.0",,"0.66","-6.91","91.31","1515475154",32,-49256892
"ripple","Ripple","XRP","3","2.41678","0.00015704","3310370000.0","93623990483.0","38739144847.0","99993093880.0","100000000000","-1.5","-14.96","4.94","1515475141",39,-120356014


"ark","Ark","ARK","48","8.95193","0.0005921","29220700.0","877121596.0","97981284.0","129231284.0",,"-2.43","15.36","12.24","1515476950",73,223248129
"dent","Dent","DENT","43","0.0994938","0.00000658","85726200.0","1056102904.0","10614760961.0","100000000000",,"-2.41","43.38","466.23","1515476953",10,89749206
"icon","ICON","ICX","15","11.9665","0.00079149","259895000.0","4529858802.0","378545005.0","400230000.0",,"-0.74","8.79","86.72","1515476956",30,52920018
"substratum","Substratum","SUB","65","2.67892","0.00017719","39019000.0","605680904.0","226091449.0","352000000.0",,"-1.08","8.75","150.53","1515476955",23,39127591
"funfair","FunFair","FUN","54","0.181912","0.00001203","118580000.0","773103010.0","4249873622.0","10999873621.0",,"-4.17","6.25","109.13","1515476952",39,18961417
"gas","Gas","GAS","75","55.978","0.0037025","25742400.0","511503555.0","9137582.0","13802656.0","100000000.0","5.11","7.79","66.96","1515476952",6,17434588
"monero","Monero","XMR","13","434.956","0.0287689","352519000.0","6776621146.0","15580015.0","15580015.0",,"-1.66","7.59","16.04","1515476943",9,11752097
"tether","Tether","USDT","37","1.0143","0.00006709","3671400000.0","1489083521.0","1468089837.0","1499999377.0",,"1.02","1.11","1.01","1515476945",6,2826608
"monacoin","MonaCoin","MONA","74","9.12661","0.00060365","16466500.0","516475087.0","56590025.0","56590025.0",,"-8.88","10.52","-8.84","1515476942",5,2479829
"tenx","TenX","PAY","93","3.98288","0.00026344","26848700.0","416853438.0","104661310.0","205218256.0",,"-3.82","1.38","-4.11","1515476951",11,-5569948
"vechain","VeChain","VEN","39","4.28788","0.00028361","114064000.0","1188440113.0","277162633.0","867162633.0",,"-2.35","-1.97","80.61","1515476954",13,-9402669
"cardano","Cardano","ADA","5","0.883154","0.00005841","245534000.0","22897596054.0","25927070538.0","31112483745.0","45000000000.0","-1.82","-8.39","20.2","1515476955",5,-9651078
